uid,descriptor,vocabulary,description,name_displayname,lat,long,birth_year_yyyy,death_year_yyyy,feature_type,year_started_yyyy,year_ended_yyyy,occupation
18533668,Ama Keng School,_Organisations,Primary school. It merged with Nam San School in 1990 to form South View Primary School.,na,na,na,na,na,na,1951,1990,na
18545914,Amadeus Choral Society,_Organisations,"Choral society under the Kampong Kembangan Community Club which aims to promote the public's awareness of choral music. It won a Gold for the Open Mixed Choir category in the 3rd International Choral Competition held at Pohlheim, Germany in 1998, and clinched two Silvers at the inaugural international Choir Olympics in 2000.",Amadeus Choral Society,na,na,na,na,na,1994,na,na
18621238,Amalgamated Union of Public Daily Rated Workers,_Organisations,Trade union that represents daily-rated employees of government ministries and public bodies.,Amalgamated Union of Public Daily Rated Workers,na,na,na,na,na,1992,na,na
18545848,Amalgamated Union of Public Employees (Singapore),_Organisations,Union representing the interests of members who are government employees. It promotes good industrial relations and unity in the workplace. It also provides legal and monetary assistance to members in need.,Amalgamated Union of Public Employees,na,na,na,na,na,1959,na,na
18518085,Amallathasan (Poet),_People,"Singapore Tamil poet who explored patriotism and humanism in his poems. His poem ""Dead Tree"" was selected to be displayed on the MRT stations.",Amallathasan,na,na,1939,na,na,na,na,Poet
18592381,Amanah Mustafi,_People,"Scriptwriter, children's book author and lyricist. She is also Assistant Vice President of Eaglevision, Mediacorp.",Amanah Mustafi,na,na,na,na,na,na,na,Children's writer | Screenwriter
18545673,Amara Singapore (Place),_GeoBuildings,Hotel in the Central Business District of Singapore to cater to business travellers and tourists. The hotel with a shopping podium was constructed between 1982 and 1984.,na,1.2749277,103.8435495,na,na,hotel,na,na,na
18552984,"Amarasuriya, Mahindanath Shanthideva",_People,Marketing manager of Adsmiths Pte Ltd and Acting Chairman of B.P. de Silva.,Mahindanath Shanthideva Amarasuriya,na,na,1947,na,na,na,na,Executive
18588370,The Amateur Ballroom Dancers' Association (Singapore),_Organisations,A amateur dance organisation which promoted and organised amateur competitive ballroom dancing in Singapore. It was renamed The Amateur Dance Sport Association (Singapore) in 1990.,na,na,na,na,na,na,1987,1990,na
18588369,The Amateur Dance Sport Association (Singapore),_Organisations,"A dancesport organisation, which promoted and organised competitions for dancesport athletes in Singapore. Formerly known as The Amateur Ballroom Dancers' Association, it was renamed as The Amateur Dance Sport Association (Singapore) in 1990, and later became the Singapore DanceSport Federation in 2002.",The Amateur Dance Sport Association (Singapore),na,na,na,na,na,1990,2002,na
18588703,Amateur Ice Hockey Association (Singapore),_Organisations,The national organisation to operate ice hockey leagues and related programs in Singapore. It was later renamed the Singapore Ice Hockey Association.,Amateur Ice Hockey Association (Singapore),na,na,na,na,na,2000,na,na
18588740,Amateur Muaythai Association (Singapore),_Organisations,An association that promotes and develops MuayThai in Singapore and internationally.,Amateur Muaythai Association (Singapore),na,na,na,na,na,2001,na,na
18592915,Amateur Takes Control (Musical group),_Organisations,"Music group that was started by guitarist Adel Rashid, and includes Isa Ong and three other sessionists. It self-released the album, ""Amateur Takes Control"" in 2007 and the CD single ""Built On Miles of Hope"" in 2008. The group’s first album ""You, Me And The Things Unsaid"" was released by KittyWu Records in October 2008. The group is on indefinite hiatus since July 2013. In 2016, the band participated in 100 Bands Festival 2016, with guitarist Field Teo and drummer Martin Kong took over the role of longtime members Junaidi Kusnong and Ahmad Khaliq.",Amateur Takes Control,na,na,na,na,na,2006,na,na
18532715,Amber Mansions,_GeoBuildings,"A shopping centre built in the 1920s and owned by Joseph Elias, a prominent Jewish businessman. Located along the curve between Orchard Road and Penang Road, it was demolished in 1984 to make way for the Dhoby Ghaut MRT Station. The three-storey building had shops on the lower floor, and suites of lawyers and architects on the upper floors. It was designed by Swan & Maclaren.",na,na,na,na,na,building,na,na,na
18345948,Amber Road,_Geographics,"A road off Marine Parade Road, originally given to the road stretching from Grove Road (expunged) to Tanjong Katong Road in 1921. Named after the Amber Trust Fund established by Serena Elias to help poor Jewish youths to further their education. The Elias family held property in the Amber Road area.",na,1.3013509,103.901269,na,na,street,na,na,na
18342041,Amber Road No. 23,_GeoBuildings,"An early 1900s bungalow with a double frontage facing the sea as well as Amber Road adjacent to the Chinese Swimming Club. Built by A. W. Cashin, it was given conservation status on 3 September 2007. It was also known as Butterfly House due to its crescent-shaped structure likened to ""Butterfly wings"". It now serves as the entrance foyer to an 18-storey condominium.",na,1.300342,103.900939,na,na,building,na,na,na
18565063,"Ambiavagar, Mangalesvary",_People,"Born in Ceylon. Worked as a teacher at Monk's Hill School in 1953. Became supervisor at Pearl's Hill School, and Mistress of (teaching) Method at Duchess School. Taught at Raffles Girls' School in 1956. Wrote her autobiography entitled ""Three score years and twenty: autobiography of an eighty-two year old Singaporean Mangaleswary Ambiavagar"" after picking up computer skills at the late age of 80, for which she was praised by then Deputy Prime Minister Lee Hsien Loong.",Mrs Mangalesvary Ambiavagar,na,na,1914,na,na,na,na,Educator
18576483,"Ambiavagar, Velauthar",_People,"Sixteenth principal (1958-1959) of Raffles Institution. He was also a student and teacher (1932-1958) there. Acting Director and Permanent Secretary of Education who retired in 1961. Wrote a book of short stories entitled ""Easy money: five short stories"" (1992).",Velauthar Ambiavagar,na,na,1907,2002,na,na,na,Educator | Civil servant
18540425,"Ambo Sooloh, Haji",_People,"Malay community leader, businessman, philanthropist and patron of Malay sportsmen. Appointed Justice of the Peace in 1927. He was one of the founders of the Malay newspaper Utusan Melayu in 1932, and was elected president of the Singapore Malay Union in 1934.",Haji Ambo Sooloh,na,na,1891,1963,na,na,na,Business person | Philanthropist
18556328,"Ambrose, J. W. D.",_People,"High court judge. Born in Penang, he read law at Oxford University and was called to the bar in 1935. He held various portfolios in the legal and judicial services of Malaya between 1936 and 1958, and was appointed high court judge in Singapore in 1958.",J. W. D. Ambrose,na,na,1909,1992,na,na,na,Judge
18578460,Ameerali R. Jumabhoy,_People,"Business person. He headed the family real estate business, Scotts Holdings, from 1982 to 1996. Patron of the Singapore Polo Club. He is author of ""India, Pakistan and Bangladesh: Changing dynamics of regional integration, SAARC and beyond"".",Ameerali R. Jumabhoy,na,na,na,na,na,na,na,Business person | Writer
18607624,"Amerasinghe, S. T.",_People,Assistant Commissioner in charge of the Police National Service.,S. T. Amerasinghe,na,na,na,na,na,na,na,Police officer
18544429,American Association of Singapore,_Organisations,"A non-profit organization which promotes and celebrates American culture among expatriates through social events, charitable activities, and career support. It is the oldest American organization in Singapore.",American Association of Singapore,na,na,na,na,na,1917,na,na
18588941,American Business Council (Singapore),_Organisations,"Trade society and employer’s group set up in 1973 to foster a positive attitude towards American businesses operating in Singapore. On 15 September 1993, the council was renamed the American Chamber of Commerce in Singapore.",American Business Council (Singapore),na,na,na,na,na,1973,1993,na
18588939,American Chamber of Commerce in Singapore,_Organisations,"International business association with a mission to promote the business interests of American companies in Singapore, by providing advocacy, business information and networking opportunities. It was renamed from the American Business Council on 15 September 1993.",American Chamber of Commerce in Singapore,na,na,na,na,na,1993,na,na
18539217,The American Club (Singapore),_Organisations,"Established by the American Association of Singapore, the community and social club offers recreational and community activities. Membership is open to all races and nationalities.",na,na,na,na,na,na,1948,na,na
18545038,"American Society of Heating, Refrigerating and Air-Conditioning Engineers Singapore Chapter",_Organisations,"Singapore branch of American society set up to advance the arts and sciences of heating, refrigeration, air-conditioning and ventilation, the applied arts and sciences and related factors for the benefit of the general public.",na,na,na,na,na,na,1955,na,na
18565768,"Amin, Chandulal A.",_People,Partner of N. Maneklal & Company (1953-1955). Sole proprietor of Patel & Company (since 1955).,Chandulal A. Amin,na,na,1927,na,na,na,na,Business owner
18538925,Aminah Mosque,_Organisations,"Mosque that was named after the benefactress, Madam Guldjan bte Dhagoo, also known as Minah Palembang. It was first established in 1960 as a surau before it was converted into a mosque and expanded over the years, including the building of a new mosque near the original site in 1971 following the widening of Sims Avenue to Jalan Eunos. It ceased to exist with the establishment of Darul Aman Mosque at Jalan Eunos in 1986.",Aminah Mosque,na,na,na,na,na,1960,na,na
18601351,Aminah Mosque (Place),_GeoBuildings,"Mosque that was located at New Sims Avenue in Geylang. It was completed in January 1960, and was demolished in 1971 to make way for the widening of Sims Avenue to Jalan Eunos. A new mosque, Darul Aman Mosque, was built near the original site in 1986.",na,na,na,na,na,mosque,na,na,na
18592394,Amir Muhammad,_People,"Publisher, writer and independent filmmaker. He established publishing companies Buku Fixi and Matahari Books.",Amir Muhammad,na,na,1972,na,na,na,na,Publisher | Writer
18560962,Amir Samsoedin,_People,"Percussionist. Member of the musical group The Checkmates, active in the 1960s-1970s.",Amir Samsoedin,na,na,1946,na,na,na,na,na
18338845,Amitabha Buddhist Society,_Organisations,Buddhist society connected to the Buddhist studies of Venerable Master Chin Kung.,na,na,na,na,na,na,na,na,na
18658397,Amni Musfirah,_People,"Singer-songwriter. She began performing at age ten and was talent spotted by Iskandar Ismail. She released her first single, ""New York High"" in 2017.",Amni Musfirah,na,na,na,na,na,na,na,Singer | Composer
18604375,Amorn Pinpimai,_People,Thai sculptor and painter. Most of his works are in mixed media and were semi abstract.,Amorn Pinpimai,na,na,1968,2012,na,na,na,Artist
18346069,Amoy Street,_Geographics,"A street in Chinatown that begins at the junction of McCallum Street and Telok Ayer Street, and ends at Pekin Street. Named after the port city Amoy in Fujian Province where the Hokkien immigrants came from, it was first developed in the 1830s as part of the 1822 Raffles’ plan for Chinatown. The street was also known colloquially as Free School Street ('ghi oh khau') as Cui Ying School was built here in 1854.",na,1.2810318,103.8471397,na,na,street,na,na,na
18532716,Amoy Street Food Centre,_GeoBuildings,A food centre within the Central Business District (CBD) completed in 1983. It was built as part of the government's programme to resettle street hawkers.,na,1.2793399,103.8466525,na,na,market,na,na,na
18612557,Ampannee Satoh,_People,"Lecturer and Head of the Department of Photography at Rangsit University, Thailand. The Thai Muslim photographer is best known for her work ""Burqa Series"" created in 2010.",Ampannee Satoh,na,na,1983,na,na,na,na,Photographer | Academic
18581022,Amrin Amin,_People,"Politician. He was a corporate lawyer and became Member of Parliament for Sembawang GRC in 2015. He was appointed Parliamentary Secretary for the Ministry of Home Affairs in October 2015, and Parliamentary Secretary for the Ministry of Health in May 2017. He was promoted to Senior Parliamentary Secretary for the same ministries in May 2018.",Amrin Amin,na,na,1978,na,na,na,na,Parliamentary Secretary | Member of Parliament | Politician | Lawyer
18593185,"Amstutz, Hobart Baumann",_People,"American missionary who came to Southeast Asia in 1926. He was pastor of the Wesley Methodist Church, and was imprisoned by the Japanese at Sime Road Camp during World War II. He later became the Methodist Bishop for Southeast Asia from 1956 to 1964, and was the founding president of Trinity College.",Hobart Baumann Amstutz,na,na,1896,1980,na,na,na,Missionary | Religious leader
18533587,An-Nahdhah Mosque (Place),_GeoBuildings,A mosque built under the Mosque Building Fund programme to serve Muslims residing and working in the vicinity of the Bishan area. It was opened to the public in 2006. The complex also houses MUIS' Harmony Centre which showcases cultural and religious practices of the Muslim community in Singapore.,na,1.353439,103.85117,na,na,mosque,na,na,na
18538929,An-Nur Mosque,_Organisations,"The mosque conducts outreach programmes, grassroots activities, madrasah and kindergarten classes, and supports the kidney donation campaign.",na,na,na,na,na,na,1980,na,na
18342432,An-Nur Mosque (Place),_GeoBuildings,"A mosque built in 1980 under the Mosque Building Fund programme managed by the Islamic Religious Council of Singapore (MUIS). Besides conducting prayers, it runs religious classes and a kindergarten.",na,1.440767,103.77197,na,na,mosque,na,na,na
18543760,"Anading, Poklong",_People,"Filipino artist, born in Manila. He has a BFA in painting from the College of Fine Arts, University of the Philippines, 1999. He earned a Cultural Center of the Philippines 13 Artists Award in 2006, and won the Ateneo Art Award in 2006 and 2008.",Poklong Anading,na,na,1975,na,na,na,na,Painter (Art)
18593914,Anak Agung Gde Meregeg,_People,"Balinese painter who painted in the traditional wayang style. He and his neighbor, Anak Agung Gde Sobrat were the first two artists in Padangtegal to meet Walter Spies at the end of the 1920s. Spies was thought to be one of the agents of change in modernizing Balinese art.",Anak Agung Gde Meregeg,na,na,1902,2001,na,na,na,Painter (Art)
18594331,Anak Agung Gde Sobrat,_People,"Balinese master painter who was one of the first two artists to meet Walter Spies at the end of the 1920s. He learned to make shadow puppets from his grandfather, and his early works were mostly wayang paintings. He learned Western style painting from Spies and Rudolf Bonnet, and ventured into market scenes and portraits. Bonnet considered him to be the most talented Balinese artist of the period in the early 1930s.",Anak Agung Gde Sobrat,na,na,1912,1992,na,na,na,Painter (Art)
18343761,Anak Bukit,_Geographics,"A subzone of the Bukit Timah planning area in the Central Region of Singapore. ""Anak Bukit"" means small hill in Malay.",na,na,na,na,na,na,na,na,na
18499592,The Analog Girl,_People,"Singapore's solo laptop-wielding electro pop musician. Her debut album “The TV Is On” was featured in Nike's advertising campaign in 2005. She had partnered with the Cirque Electrique in Paris, provided the electro-pop backdrop to avant-garde circus acts, and wrote the soundtrack for the silent animation ""The Adventures of Prince Achmed"".",The Analog Girl,na,na,1973,na,na,na,na,Musician | Music arranger | Composer | Lyricist
18538927,Anand Centre of Fine Arts,_Organisations,"Music society. Established by Gurcharan Singh in 1987 as Bhartiya Sangeet and Educational Centre, it was renamed Anand Centre of Fine Arts in 1988.",Anand Centre of Fine Arts,na,na,na,na,na,1988,na,na
18592092,Ananda Bhavan,_Organisations,Oldest Indian vegetarian restaurant in Singapore. Its first restaurant was located at the Ellison Building and had since developed into a restaurant chain serving North and South Indian cuisine as well as Indian-Chinese fusion dishes.,Ananda Bhavan,na,na,na,na,na,1924,na,na
18517147,"Anandan, Subhas",_People,"Criminal defence lawyer who appeared in numerous high-profile cases. He was founding member and the first president of the Association of Criminal Lawyers of Singapore (ACLS). He was also president of Cuesports Singapore, the national sports association for billiards, snooker and pool.",Subhas Anandan,na,na,1947,2015,na,na,na,Lawyer
18589046,Ancestral Temple of Ying Fo Fui Kun (Place),_GeoBuildings,"Ancestral temple of Hakka clan association, Ying Fo Fui Kun. Established in 1887, the temple housed Ying Xin School (应新学堂) between 1926 and 1969.",na,1.30573,103.79601,na,na,temple,na,na,na
18488064,Anchor Green Primary School,_Organisations,Government primary school. The students are called Anchorlites.,Anchor Green Primary School,na,na,na,na,na,na,na,na
18343614,Anchorvale,_Geographics,"A subzone of the Sengkang planning area in the North-East Region. It is bounded by the Tampines Expressway, Sengkang East Road, Sengkang East Avenue and the Sungei Punggol.",na,na,na,na,na,na,na,na,na
18344406,Anchorvale Road,_Geographics,A road connecting Sengkang East Avenue and Anchorvale Street located in Sengkang New Town.,na,1.3933092,103.8872785,na,na,street,na,na,na
18348841,Anderson Bridge,_Geographics,"Bridge across the Singapore River, connecting Connaught Drive and Fullerton Road. Built in 1910 to take the traffic load off Cavenagh Bridge, it was named after Sir John Anderson, the governor of the Straits Settlement (1904-1911). It was gazetted national monument together with the Cavenagh and Elgin Bridges on 15 Oct 2019.",na,1.2871833,103.8529398,na,na,bridge,na,na,na
18537412,Anderson Girls' Secondary School,_Organisations,"Government all-girl secondary school. Originally a primary school with primary and post primary classes, it was converted into a secondary girls' school in 1964. It became co-educational in 1965 and became a full-fledged secondary school in 1967.",Anderson Girls' Secondary School,na,na,na,na,na,1964,1967,na
18586684,"Anderson, John, Sir",_People,"Business person who came to Singapore as a child with his parents in 1859. He joined Boustead & Company in 1871 as a clerk and Guthrie & Co in 1876 as an assistant before starting his own firm. He played a significant role in the development of Malaya’s rubber industry. He served as a member of the Volunteer Fire Brigade, the Singapore Legislative Council and as Chairman of the Opium Commission. He was the President of Singapore Cricket Club from 1884 to 1887, and again from 1907 to 1908. He returned to London in 1912.",Sir John Anderson,na,na,1852,1924,na,na,na,Business person
18586686,"Anderson, John, Sir (Colonial administrator)",_People,"Scottish colonial administrator and Governor of the Straits Settlements (15 April 1904 – 9 April 1911) and Governor of Ceylon (15 April 1916 – 24 March 1918). He oversaw the municipal housing policy, expropriation of the Tanjong Pagar dock, the construction of the railway to Johor and the completion of the Victoria Memorial Hall in 1905. The Anderson Bridge at the mouth of the Singapore River is named after him.",Sir John Anderson,na,na,1858,1918,na,na,na,Colonial administrator
18488396,Anderson Junior College,_Organisations,"Government junior college established in 1984. It was merged with Serangoon Junior College in 2019, and took on a new name of Anderson Serangoon Junior College.",Anderson Junior College,na,na,na,na,na,1984,2018,na
18488065,Anderson Primary School,_Organisations,"Government primary school that started functioning in 2000. It was formed through the merger of Li Hua, Hong Dao and Ang Mo Kio North Primary Schools.",Anderson Primary School,na,na,na,na,na,2000,na,na
18345933,Anderson Road,_Geographics,"A road stretching from Stevens Road to Orange Grove Road. Named after Sir John Anderson, who was the Governor of the Straits Settlements and High Commissioner for the Federated Malay States from 1904 to 1911.",na,1.3115518,103.8277051,na,na,street,na,na,na
18488243,Anderson Secondary School,_Organisations,"Government secondary school. Originally a primary school with primary and post primary classes, it was converted into a secondary girls' school in 1964 known as Anderson Girls' Secondary School. It became co-educational in 1965 and became a full-fledged secondary school in 1967. It relocated from Stevens Road to Ang Mo Kio in December 1984.",Anderson Secondary School,na,na,na,na,na,1967,na,na
18606872,Anderson Serangoon Junior College,_Organisations,A renamed junior college formed from the merger of Anderson Junior College and Serangoon Junior College.,Anderson Serangoon Junior College,na,na,na,na,na,2019,na,na
18586688,"Ando, Kozo, Dr.",_People,Member of the pre-war Japanese community in Singapore. He served as president of the Singapore section of the British Medical Association’s Malay Branch. He was appointed the Director of Medical Services in Singapore and Malaya during the Japanese Occupation. He also played a role in the setting up of the Marei Ika Daigaku (Malaya Medical College) in Singapore during the Occupation.,Dr. Kozo Ando,na,na,na,na,na,na,na,Doctor
18347571,Andover Road,_Geographics,A road located at Changi Point near Changi Beach Club.,na,1.3899727,103.9750474,na,na,street,na,na,na
18345849,Andrew Road,_Geographics,"A road connecting Thomson Road and Lornie Road. Named after Sir Andrew Caldecott, who was the acting Governor of the Straits Settlements and Colonial Secretary in the 1930s.",na,1.3367696,103.8327857,na,na,street,na,na,na
18560486,"Ang, Ah Tee",_People,"Artist renowned for his acrylic, watercolour and oil paintings. His works include ""Kashmir"" (1994), ""Shanghai"" (1994) and ""First Day of Summer"" (1996).",Ang Ah Tee,na,na,1943,na,na,na,na,Artist
18566465,"Ang, Andrew",_People,"Retired High Court Judge at Supreme Court, Singapore. Served on several committees and boards, such as chairman of the Singapore Mediation Centre and vice-chairman of the Law Reform Committee.",Andrew Ang,na,na,1946,na,na,na,na,Judge
18567684,"Ang, Belinda Saw Ean",_People,"High Court Judge in the Supreme Court. She was first appointed Judicial Commissioner in February 2002, and Judge in January 2003. She is also the Chairperson of the Singapore Mediation Centre and the founder of the boutique law firm, M/s Ang & Partners.",Belinda Ang Saw Ean,na,na,na,na,na,na,na,Judge
18659991,"Ang, Benjamin",_People,"Senior Fellow at the Centre of Excellence for National Security at RSIS. His areas of expertise are in cybersecurity, data protection, technology law and media.",Benjamin Ang,na,na,na,na,na,na,na,Academic | Lawyer | Writer
18573504,Ang Chee Sia Ong Temple (Place),_GeoBuildings,"Taoist temple. The temple was first established in 1918, and was relocated in 1997. It has a stone wall carving called the 24 Filial Practices which gives examples in Chinese and English of how traditional Chinese cared for their parents. Another feature of the temple is a dragon bridge. Some refer to the temple as ""the Temple of 100 Dragons"".",na,1.311707,103.760384,na,na,temple,na,na,na
18577425,"Ang, Chee Theng",_People,Oil Painter specialising in landscape paintings. Graduated from the Nanyang Academy of Fine Arts (NAFA) in 1952. He held his first solo exhibition in 1987. His artistic style is an evolution of realism and impressionism.,Ang Chee Theng,na,na,1932,2010,na,na,na,Painter (Art)
18555343,"Ang, Cheng Bin",_People,Composer of Xinyao songs. He was a member of musical group “2 1” (二一小组). He taught Xinyao music at Kim Seng Technical School in the late 1980s.,Ang Cheng Bin,na,na,1966,na,na,na,na,Composer
18577432,"Ang, Cheng Chye",_People,"Artist specialising in Chinese brush painting, sketching, Chinese calligraphy and seal carving. He is an executive committee member of Singapore Molan Art Association since 1983 and is the founder and Chairman of YiLin Art Club since 1995. He is also an art teacher, teaching brush painting, calligraphy and seal-carving in community centres, schools and special interest groups since 1983. He held several solo exhibitions, including one in Berlin, Germany in 1996.",Ang Cheng Chye,na,na,1954,na,na,na,na,Calligrapher | Painter (Art) | Art teacher
18560501,"Ang, Chwee Chai",_People,"One of Singapore’s leading pioneers in photography. He was president of the Photographic Society of Singapore for 15 years, and was appointed Chairman of the Photographic Art Advisory Committee by the Ministry of Culture in 1983.",Ang Chwee Chai,na,na,1910,1995,na,na,na,Photographer
18583144,"Ang, Darrell",_People,"Music director of Orchestre Symphonique De Bretagne in France. As a music conductor, he has conducted many orchestras including the London Philharmonic Orchestra. He has served as the Associate Conductor of the Singapore Symphony Orchestra and the Music Director of the Singapore National Youth Orchestra.",Darrell Ang,na,na,1979,na,na,na,na,Conductor (Music) | Music director
18604292,"Ang, Hao Sai",_People,"Artist and poster painter. He left school after primary 6 and became an apprentice at a poster studio that specialized in hand-painting movie billboards and posters. He eventually became the studio's master painter. He started his own business when the studio closed down in the 1980s, producing stage backdrops and printing of photo-real posters.",Ang Hao Sai,na,na,1951,na,na,na,na,Painter (Art) | Business owner
18533221,"Ang, Hin Kee",_People,"Member of Parliament for Ang Mo Kio Group Representation Constituency since 2011. He served as Chief Executive Officer of the Employment and Employability Institute (2006- 2012), and Adviser at the National Taxi Association and Executive Secretary of the Education Services Union since 2012.",Ang Hin Kee,na,na,1965,na,na,na,na,Member of Parliament | Politician
18577435,"Ang, Hiong Chiok",_People,"Oil painter and poet born in Fujian, Jinmen, China. He graduated from the Singapore Academy of Arts, Western Painting Department in 1976. His first solo exhibition was held at the National Museum Art Gallery, Singapore in 1993. He was awarded ""The Creative Visual Art Award"" in 1983 by the Nanyang Academy of Fine Arts Alumni Association. Apart from individuals and companies, his collectors include the United Overseas Bank Group, IBM and The National Museum Art Gallery, Singapore.",Ang Hiong Chiok,na,na,1947,na,na,na,na,Painter (Art)
18658603,"Ang, Hoon Seng",_People,"Artist with a passion for Chinese calligraphy. He was a banker, and retired in 1999. He has studied and practiced a wide range of calligraphy of the great masters, and has developed a style of his own. He also practices brush painting and wood carving.",Ang Hoon Seng,na,na,1933,na,na,na,na,Artist
18541020,"Ang, How Ghee",_People,"Emeritus Professor at National University of Singapore (NUS) and founding director of the Energetics Research Institute (EnRI) at the Nanyang Technological University (NTU). He also served as Chairman of the Science Council of Singapore, Chairman of the ASEAN Committee on Science and Technology, Member of the United Nations Advisory Council on Science and Technology for Development, and advisor to the Defence Science and Technology Agency (DSTA) and DSO National Laboratories.",Ang How Ghee,na,na,na,na,na,na,na,Academic
18486801,"Ang, Irene",_People,"Founder and Chief Executive Officer (CEO) of artiste management agency, FLY Entertainment. The actress, stand-up comedian, host, event co-ordinator and motivational speaker rose to fame playing Rosie Phua in the sitcom Phua Chu Kang. She also sits on the Media Development Authority Singapore’s Media Festival Advisory Board and National Heritage Board, and serves as a steering committee member and mentor for Action Community for Entrepreneurship (ACE) start up Singapore.",Irene Ang,na,na,na,na,na,na,na,Actor | Comedian
18592603,"Ang, Jin Yong",_People,"Poet and editor-in-chief of ""WhyNot"", a Singapore-based Chinese literary magazine.",Ang Jin Yong,na,na,1991,na,na,na,na,Magazine editor | Poet
18572315,"Ang, Keong Lan",_People,"Entrepreneur who formed Eng Hong Company in 1946 and Joo Seng in 1948. Chairman of Pei Hwa Public School Management Board (1956-1961), Chairman of the Jalan Kayu Citizens' Consultative Committee (1965-1979), President of the Singapore Stockfeed Manufacturers' Association (1973-1981), Chairman of Joo Seng Company",Ang Keong Lan,na,na,1920,na,na,na,na,Business person | Philanthropist
18600976,"Ang, Kim Tee",_People,"Sole proprietor of chop Chin Seng, succeeding his brother Ang Kim Cheak in 1870. He was also the treasurer of Kim Seng Free School located at Amoy Street and head of Keng Teck Whay.",Ang Kim Tee,na,na,1839,1901,na,na,na,Business owner
18549889,"Ang, Kiukok",_People,"Filipino Chinese visual artist known for his expressive, Cubist-like works that reflect the terror and angst of the times. His works include ""Geometric Landscape"" (1969) and ""Pieta"" (1962), which won him the bronze medal in the first International Art Exhibition held in Saigon.",Ang Kiukok,na,na,1931,2005,na,na,na,Artist
18533823,"Ang, Kok Peng",_People,"Chemistry professor and politician. He began his academic career in 1952, and rose to become professor in 1976. He was Ambassador to Japan from 1968 to 1971. He served as Member of Parliament for Crawford and Buona Vista between 1972 and 1988, and during this time he was Minister of State for Communications (1972-1974) and Health (1974-1976).",Ang Kok Peng,na,na,1927,1997,na,na,na,Academic | Politician | Diplomat | Member of Parliament
18551180,"Ang, Kok Sai",_People,"Photographer, film enthusiast and collector whose collection of movie magazines, theatre/drama/film admission tickets, CDs, DVDs, books and serials was donated to the National Library Board after his death.",Ang Kok Sai,na,na,na,na,na,na,na,Photographer
18343130,Ang Mo Kio,_Geographics,"Located within the North-Eastern Region, it is bounded by Seletar Expressway to the north, the Central Expressway (CTE) to the east, the Central Water Catchment to the west and Ang Mo Kio Avenue 1 to the south. Literally translated from Chinese to mean ""red-haired man's bridge"", development of the town started in 1973 and was completed in 1980.",na,na,na,na,na,administrative division,na,na,na
18592128,Ang Mo Kio Joint Temple (Place),_GeoBuildings,"Temple structure comprising of three older temples, namely Kong Lim Kong (1888), Kim Eang Tong (1961) and Leng San Giam (1950s). Built in 1983, it was subsequently demolished for a new structure constructed in 2011.",na,1.366343,103.838726,na,na,temple,na,na,na
18598983,Ang Mo Kio North Primary School,_Organisations,Primary school in Ang Mo Kio. It was merged with Hong Dao Primary School and Li Hua Primary School in 2000 to form Anderson Primary School.,Ang Mo Kio North Primary School,na,na,na,na,na,1981,2000,na
18338802,Ang Mo Kio Polyclinic,_Organisations,Part of the National Healthcare Group of Polyclinics located within the Ang Mo Kio Town Centre. It relocated to a new facility in January 2018.,na,na,na,na,na,na,na,na,na
18488066,Ang Mo Kio Primary School,_Organisations,"Government primary school that started in 1978. It was temporarily housed in Dorset Primary School before moving to its own campus in April 1978. In 2002, it merged with Kebun Baru Primary School and relocated to 20 Ang Mo Kio Avenue 3.",Ang Mo Kio Primary School,na,na,na,na,na,1978,na,na
18580902,Ang Mo Kio Public Library,_Organisations,A public library of the National Library Board.,Ang Mo Kio Public Library,na,na,na,na,na,1985,na,na
18342629,Ang Mo Kio Public Library (Place),_GeoBuildings,A public library managed by the National Library Board. It was officially opened on 17 August 1985.,na,1.374907,103.845565,na,na,library,na,na,na
18488244,Ang Mo Kio Secondary School,_Organisations,Government secondary school that started functioning in January 1979. It was temporarily housed at Hwi Yoh Secondary School before moving to its own campus in July the same year.,Ang Mo Kio Secondary School,na,na,na,na,na,1979,na,na
18585843,Ang Mo Kio South Community Centre,_Organisations,Community centre built in 1985 that offers recreational and educational facilities to serve the residents of Ang Mo Kio.,Ang Mo Kio South Community Centre,na,na,na,na,na,1985,na,na
18657015,Ang Mo Kio - Thye Hua Kwan Hospital,_Organisations,"Community hospital located in Ang Mo Kio that was set up by the Ministry of Health in 1993, and initially operated by SingHealth. The Thye Hua Kwan Moral Society took over operations in 2002.",Ang Mo Kio - Thye Hua Kwan Hospital,na,na,na,na,na,2002,na,na
18343541,Ang Mo Kio Town Centre,_Geographics,"A subzone of the Ang Mo Kio planning area in the North-East Region of Singapore. It is bounded by Ang Mo Kio Avenue 5, Ang Mo Kio Avenue 8, Ang Mo Kio Avenue 3 and Ang Mo Kio Avenue 6.",na,na,na,na,na,na,na,na,na
18567682,Ang Mo Kio Town Council,_Organisations,"Town council that manages the residential and commercial property in Ang Mo Kio - Sengkang West estate. It has four town council offices located at Ang Mo Kio Avenue 1, Ang Mo Kio Avenue 10, Ang Mo Kio-Hougang Service Centre and Sengkang West. Ang Mo Kio was where three pilot town councils were set up in September of 1986 to test the concept. Its success led to the Town Council Act being passed in 1988. The town council was renamed several times due to merger and split between town councils, including a rename in 1993 to Ang Mo Kio-Yishun Town Council and to Ang Mo Kio-Yio Chu Kang Town Council in 2006 before it was again renamed as Ang Mo Kio Town Council.",Ang Mo Kio Town Council,na,na,na,na,na,na,na,na
